recorte;mes;n_contratacoes_publicadas;n_aberturas;n_encerramentos;n_resultados
rol_esportivo_educativo;2025-01;7.0;7.0;6.0;0.0
rol_esportivo_educativo;2025-02;6.0;6.0;6.0;22.0
rol_esportivo_educativo;2025-03;2.0;1.0;1.0;1.0
rol_esportivo_educativo;2025-04;0.0;0.0;1.0;3.0
rol_esportivo_educativo;2025-05;4.0;4.0;2.0;0.0
rol_esportivo_educativo;2025-06;4.0;3.0;3.0;10.0
rol_esportivo_educativo;2025-07;4.0;4.0;5.0;9.0
rol_esportivo_educativo;2025-08;7.0;4.0;3.0;10.0
rol_esportivo_educativo;2025-09;6.0;5.0;3.0;1.0
rol_esportivo_educativo;2025-10;8.0;4.0;5.0;23.0
rol_esportivo_educativo;2025-11;6.0;1.0;4.0;10.0
rol_esportivo_educativo;2025-12;5.0;5.0;5.0;7.0
rol_esportivo_educativo;2026-01;7.0;6.0;3.0;29.0
rol_esportivo_educativo;2026-02;3.0;2.0;4.0;6.0
rol_esportivo_educativo;2026-03;5.0;2.0;2.0;10.0
rol_esportivo_educativo;2026-04;5.0;4.0;3.0;4.0
rol_esportivo_educativo;2026-05;2.0;0.0;2.0;5.0
rol_esportivo_educativo;2026-06;1.0;2.0;2.0;0.0
rol_esportivo_educativo;2026-07;3.0;2.0;0.0;12.0
rol_esportivo_educativo;2026-08;2.0;2.0;3.0;0.0
rol_esportivo_educativo;2026-09;1.0;1.0;2.0;1.0
todas_compras_consultadas;2024-08;0.0;1.0;0.0;0.0
todas_compras_consultadas;2024-09;0.0;0.0;1.0;0.0
todas_compras_consultadas;2024-11;0.0;1.0;0.0;0.0
todas_compras_consultadas;2024-12;0.0;0.0;1.0;0.0
todas_compras_consultadas;2025-01;89.0;65.0;31.0;0.0
todas_compras_consultadas;2025-02;105.0;70.0;79.0;22.0
todas_compras_consultadas;2025-03;96.0;64.0;56.0;2.0
todas_compras_consultadas;2025-04;115.0;79.0;79.0;3.0
todas_compras_consultadas;2025-05;151.0;112.0;102.0;5.0
todas_compras_consultadas;2025-06;126.0;90.0;92.0;12.0
todas_compras_consultadas;2025-07;160.0;110.0;109.0;11.0
todas_compras_consultadas;2025-08;149.0;91.0;95.0;10.0
todas_compras_consultadas;2025-09;186.0;116.0;107.0;5.0
todas_compras_consultadas;2025-10;162.0;99.0;95.0;23.0
todas_compras_consultadas;2025-11;142.0;76.0;88.0;10.0
todas_compras_consultadas;2025-12;184.0;97.0;107.0;9.0
todas_compras_consultadas;2026-01;85.0;67.0;59.0;30.0
todas_compras_consultadas;2026-02;93.0;70.0;61.0;7.0
todas_compras_consultadas;2026-03;109.0;69.0;75.0;10.0
todas_compras_consultadas;2026-04;119.0;82.0;86.0;4.0
todas_compras_consultadas;2026-05;111.0;71.0;77.0;10.0
todas_compras_consultadas;2026-06;131.0;59.0;62.0;11.0
todas_compras_consultadas;2026-07;117.0;83.0;76.0;12.0
todas_compras_consultadas;2026-08;123.0;102.0;96.0;1.0
todas_compras_consultadas;2026-09;54.0;41.0;81.0;3.0
